,subject,predicate,object
6133,Live-in workers,are quite common with,"about 224,500 foreign workers there"
6134,workers,are,"quite common in Singapore with about 224,500 foreign workers there"
6135,domestic workers,are,"quite common in Singapore with about 224,500 workers"
6136,Live-in foreign workers,are common with,"about 224,500 foreign workers"
6137,Live-in foreign domestic workers,are quite common with,"about 224,500 workers"
6138,foreign workers,are quite common with,"about 224,500 workers there"
6139,Live-in workers,are,"common in Singapore with about 224,500 workers there"
6140,Live-in domestic workers,are,"quite common in Singapore with about 224,500 domestic workers"
6141,domestic workers,are,"quite common in Singapore with about 224,500 domestic workers"
6142,Live-in workers,are common with,"about 224,500 workers"
6143,Live-in domestic workers,are common with,"about 224,500 domestic workers there"
6144,foreign workers,are,"common in Singapore with about 224,500 foreign workers there"
6145,Live-in foreign workers,are,"quite common in Singapore with about 224,500 foreign workers there"
6146,Live-in foreign domestic workers,are quite common with,"about 224,500 foreign workers"
6147,Live-in domestic workers,are quite common with,"about 224,500 foreign workers"
6148,domestic workers,are,"common in Singapore with about 224,500 foreign domestic workers"
6149,Live-in foreign domestic workers,are,"quite common in Singapore with about 224,500 foreign domestic workers there"
6150,foreign workers,are,common
6151,domestic workers,are quite common with,"about 224,500 foreign workers there"
6152,foreign domestic workers,are,"quite common in Singapore with about 224,500 foreign domestic workers there"
6153,foreign workers,are,"quite common in Singapore with about 224,500 foreign workers there"
6154,foreign domestic workers,are common with,"about 224,500 workers there"
6155,foreign domestic workers,are,"quite common in Singapore with about 224,500 domestic workers"
6156,workers,are quite common with,"about 224,500 domestic workers"
6157,Live-in foreign workers,are,"quite common in Singapore with about 224,500 domestic workers there"
6158,domestic workers,are,"quite common in Singapore with about 224,500 foreign domestic workers there"
6159,Live-in foreign workers,are quite common with,"about 224,500 domestic workers there"
6160,Live-in domestic workers,are,"common in Singapore with about 224,500 foreign domestic workers"
6161,foreign domestic workers,are,"quite common in Singapore with about 224,500 domestic workers there"
6162,Live-in foreign workers,are quite common with,"about 224,500 workers there"
6163,Live-in foreign workers,are common with,"about 224,500 foreign workers there"
6164,Live-in domestic workers,are common with,"about 224,500 foreign domestic workers there"
6165,foreign workers,are,"quite common in Singapore with about 224,500 domestic workers"
6166,foreign domestic workers,are quite common with,"about 224,500 domestic workers there"
6167,workers,are,"quite common in Singapore with about 224,500 domestic workers"
6168,Live-in foreign workers,are,"common in Singapore with about 224,500 domestic workers"
6169,domestic workers,are quite common with,"about 224,500 domestic workers there"
6170,foreign workers,are common with,"about 224,500 foreign workers"
6171,workers,are,"common in Singapore with about 224,500 domestic workers there"
6172,Live-in foreign workers,are,"common in Singapore with about 224,500 foreign domestic workers there"
6173,Live-in workers,are quite common as of,December 2013
6174,domestic workers,are common as of,December 2013
6175,foreign workers,are common with,"about 224,500 workers"
6176,Live-in foreign workers,are common with,"about 224,500 domestic workers there"
6177,Live-in foreign workers,are quite common with,"about 224,500 foreign workers"
6178,Live-in workers,are quite common with,"about 224,500 foreign workers"
6179,foreign domestic workers,are,"common in Singapore with about 224,500 domestic workers there"
6180,Live-in foreign domestic workers,are quite common with,"about 224,500 domestic workers there"
6181,Live-in foreign workers,are,"quite common in Singapore with about 224,500 foreign domestic workers"
6182,Live-in domestic workers,are,"common in Singapore with about 224,500 workers"
6183,Live-in workers,are,"common in Singapore with about 224,500 foreign workers there"
6184,Live-in domestic workers,are common with,"about 224,500 workers there"
6185,foreign workers,are common with,"about 224,500 workers there"
6186,workers,are quite common with,"about 224,500 workers"
6187,Live-in domestic workers,are common with,"about 224,500 foreign domestic workers"
6188,foreign domestic workers,are common with,"about 224,500 domestic workers there"
6189,Live-in foreign workers,are,"common in Singapore with about 224,500 foreign domestic workers"
6190,Live-in foreign domestic workers,are common with,"about 224,500 domestic workers"
6191,domestic workers,are quite common as of,December 2013
6192,workers,are common with,"about 224,500 foreign workers there"
6193,Live-in domestic workers,are,"common in Singapore with about 224,500 workers there"
6194,Live-in workers,are,"quite common in Singapore with about 224,500 foreign workers"
6195,Live-in domestic workers,are,"common in Singapore with about 224,500 foreign workers"
6196,domestic workers,are common with,"about 224,500 workers"
6197,domestic workers,are,"quite common in Singapore with about 224,500 workers there"
6198,Live-in foreign workers,are,common
6199,foreign workers,are quite common with,"about 224,500 foreign domestic workers"
6200,domestic workers,are quite common with,"about 224,500 foreign domestic workers there"
6201,Live-in workers,are common with,"about 224,500 foreign domestic workers there"
6202,Live-in foreign domestic workers,are quite common as of,December 2013
6203,foreign workers,are common with,"about 224,500 domestic workers"
6204,workers,are,"common in Singapore with about 224,500 foreign workers"
6205,foreign domestic workers,are quite common with,"about 224,500 foreign workers there"
6206,Live-in foreign domestic workers,are quite common with,"about 224,500 domestic workers"
6207,domestic workers,are quite common with,"about 224,500 workers there"
6208,Live-in workers,are,"common in Singapore with about 224,500 domestic workers"
6209,Live-in domestic workers,are common with,"about 224,500 domestic workers"
6210,Live-in foreign domestic workers,are,"common in Singapore with about 224,500 workers there"
6211,workers,are,"quite common in Singapore with about 224,500 foreign workers"
6212,Live-in foreign workers,are quite common with,"about 224,500 foreign domestic workers there"
6213,workers,are,"quite common in Singapore with about 224,500 domestic workers there"
6214,Live-in foreign domestic workers,are,"common in Singapore with about 224,500 domestic workers"
6215,foreign workers,are,"quite common in Singapore with about 224,500 foreign domestic workers there"
6216,Live-in workers,are,"common in Singapore with about 224,500 foreign workers"
6217,domestic workers,are quite common with,"about 224,500 foreign domestic workers"
6218,Live-in foreign workers,are common with,"about 224,500 domestic workers"
6219,Live-in workers,are,"common in Singapore with about 224,500 domestic workers there"
6220,Live-in workers,are,"quite common in Singapore with about 224,500 workers"
6221,Live-in workers,are,common
6222,Live-in foreign domestic workers,are,"common in Singapore with about 224,500 foreign domestic workers"
6223,domestic workers,are,"common in Singapore with about 224,500 foreign domestic workers there"
6224,workers,are quite common as of,December 2013
6225,domestic workers,are,"quite common in Singapore with about 224,500 foreign workers"
6226,foreign domestic workers,are quite common as of,December 2013
6227,Live-in domestic workers,are quite common with,"about 224,500 workers there"
6228,Live-in foreign workers,are,"common in Singapore with about 224,500 foreign workers there"
6229,domestic workers,are,"quite common in Singapore with about 224,500 foreign workers there"
6230,foreign workers,are,"quite common in Singapore with about 224,500 domestic workers there"
6231,Live-in foreign workers,are quite common in,Singapore
6232,foreign domestic workers,are quite common with,"about 224,500 foreign workers"
6233,foreign workers,are,"common in Singapore with about 224,500 domestic workers there"
6234,foreign domestic workers,are common with,"about 224,500 workers"
6235,Live-in workers,are common with,"about 224,500 domestic workers"
6236,foreign workers,are,"quite common in Singapore with about 224,500 foreign workers"
6237,foreign workers,are,"quite common in Singapore with about 224,500 foreign domestic workers"
6238,Live-in workers,are quite common with,"about 224,500 domestic workers"
6239,Live-in workers,are,"common in Singapore with about 224,500 foreign domestic workers there"
6240,domestic workers,are,"common in Singapore with about 224,500 domestic workers"
6241,foreign workers,are quite common with,"about 224,500 foreign workers there"
6242,Live-in foreign workers,are quite common as of,December 2013
6243,Live-in foreign domestic workers,are,"quite common in Singapore with about 224,500 foreign domestic workers"
6244,domestic workers,are,"common in Singapore with about 224,500 workers there"
6245,Live-in foreign domestic workers,are common as of,December 2013
6246,foreign workers,are,"common in Singapore with about 224,500 workers there"
6247,Live-in foreign domestic workers,are,"common in Singapore with about 224,500 foreign domestic workers there"
6248,Live-in foreign domestic workers,are,quite common
6249,Live-in domestic workers,are,"quite common in Singapore with about 224,500 workers"
6250,domestic workers,are quite common with,"about 224,500 foreign workers"
6251,Live-in workers,are,"quite common in Singapore with about 224,500 foreign domestic workers there"
6252,Live-in foreign domestic workers,are,common
6253,foreign domestic workers,are common with,"about 224,500 foreign domestic workers"
6254,foreign workers,are,"common in Singapore with about 224,500 workers"
6255,foreign domestic workers,are common with,"about 224,500 domestic workers"
6256,Live-in domestic workers,are common as of,December 2013
6257,foreign workers,are quite common with,"about 224,500 domestic workers there"
6258,workers,are common with,"about 224,500 workers there"
6259,workers,are common with,"about 224,500 foreign domestic workers"
6260,Live-in workers,are common as of,December 2013
6261,Live-in foreign workers,are common with,"about 224,500 foreign domestic workers"
6262,Live-in foreign domestic workers,are,"quite common in Singapore with about 224,500 workers there"
6263,Live-in foreign domestic workers,are,"common in Singapore with about 224,500 domestic workers there"
6264,Live-in workers,are quite common with,"about 224,500 workers there"
6265,Live-in workers,are,"quite common in Singapore with about 224,500 domestic workers there"
6266,Live-in domestic workers,are common in,Singapore
6267,foreign domestic workers,are common in,Singapore
6268,foreign workers,are,quite common
6269,foreign workers,are quite common with,"about 224,500 foreign domestic workers there"
6270,Live-in foreign domestic workers,are,"quite common in Singapore with about 224,500 foreign workers"
6271,Live-in domestic workers,are,"common in Singapore with about 224,500 foreign domestic workers there"
6272,Live-in workers,are common with,"about 224,500 domestic workers there"
6273,foreign domestic workers,are,"common in Singapore with about 224,500 foreign workers there"
6274,domestic workers,are,"quite common in Singapore with about 224,500 domestic workers there"
6275,Live-in foreign workers,are,"common in Singapore with about 224,500 workers"
6276,foreign domestic workers,are common as of,December 2013
6277,Live-in workers,are common with,"about 224,500 foreign workers"
6278,Live-in domestic workers,are,quite common
6279,foreign workers,are common in,Singapore
6280,Live-in domestic workers,are,"common in Singapore with about 224,500 domestic workers there"
6281,Live-in domestic workers,are,"common in Singapore with about 224,500 domestic workers"
6282,domestic workers,are common with,"about 224,500 foreign workers"
6283,Live-in workers,are common with,"about 224,500 foreign domestic workers"
6284,foreign workers,are quite common as of,December 2013
6285,Live-in foreign workers,are,"quite common in Singapore with about 224,500 foreign workers"
6286,domestic workers,are,"common in Singapore with about 224,500 foreign workers there"
6287,Live-in domestic workers,are quite common with,"about 224,500 domestic workers"
6288,workers,are quite common with,"about 224,500 foreign domestic workers there"
6289,Live-in foreign domestic workers,are quite common with,"about 224,500 foreign domestic workers there"
6290,workers,are quite common with,"about 224,500 workers there"
6291,Live-in domestic workers,are,"common in Singapore with about 224,500 foreign workers there"
6292,Live-in domestic workers,are,"quite common in Singapore with about 224,500 domestic workers there"
6293,Live-in foreign workers,are common in,Singapore
6294,Live-in foreign workers,are common with,"about 224,500 workers"
6295,Live-in foreign workers,are quite common with,"about 224,500 workers"
6296,domestic workers,are quite common in,Singapore
6297,Live-in domestic workers,are common with,"about 224,500 workers"
6298,foreign domestic workers,are quite common with,"about 224,500 workers there"
6299,Live-in foreign domestic workers,are quite common in,Singapore
6300,foreign workers,are,"common in Singapore with about 224,500 foreign workers"
6301,workers,are quite common with,"about 224,500 foreign workers there"
6302,foreign workers,are quite common with,"about 224,500 foreign workers"
6303,Live-in foreign workers,are,"quite common in Singapore with about 224,500 workers"
6304,workers,are common with,"about 224,500 domestic workers there"
6305,workers,are common with,"about 224,500 workers"
6306,workers,are,"common in Singapore with about 224,500 workers"
6307,foreign domestic workers,are,"common in Singapore with about 224,500 foreign domestic workers"
6308,Live-in workers,are quite common in,Singapore
6309,domestic workers,are quite common with,"about 224,500 workers"
6310,domestic workers,are quite common with,"about 224,500 domestic workers"
6311,foreign workers,are quite common with,"about 224,500 workers"
6312,Live-in workers,are common in,Singapore
6313,foreign domestic workers,are,"common in Singapore with about 224,500 foreign workers"
6314,foreign domestic workers,are common with,"about 224,500 foreign workers"
6315,Live-in workers,are,"quite common in Singapore with about 224,500 foreign domestic workers"
6316,domestic workers,are,"common in Singapore with about 224,500 foreign workers"
6317,Live-in domestic workers,are quite common in,Singapore
6318,Live-in foreign workers,are,quite common
6319,Live-in domestic workers,are,"quite common in Singapore with about 224,500 foreign domestic workers"
6320,foreign workers,are,"common in Singapore with about 224,500 foreign domestic workers there"
6321,foreign domestic workers,are common with,"about 224,500 foreign workers there"
6322,domestic workers,are,"quite common in Singapore with about 224,500 foreign domestic workers"
6323,workers,are,"quite common in Singapore with about 224,500 workers"
6324,Live-in workers,are,quite common
6325,domestic workers,are common with,"about 224,500 foreign domestic workers there"
6326,Live-in workers,are,"quite common in Singapore with about 224,500 foreign workers there"
6327,Live-in workers,are quite common with,"about 224,500 foreign domestic workers there"
6328,domestic workers,are common with,"about 224,500 foreign domestic workers"
6329,Live-in workers,are quite common with,"about 224,500 domestic workers there"
6330,workers,are,"quite common in Singapore with about 224,500 foreign domestic workers there"
6331,workers,are common as of,December 2013
6332,Live-in foreign domestic workers,are common with,"about 224,500 domestic workers there"
6333,domestic workers,are,"common in Singapore with about 224,500 domestic workers there"
6334,foreign domestic workers,are,quite common
6335,Live-in foreign domestic workers,are common with,"about 224,500 foreign domestic workers"
6336,Live-in domestic workers,are quite common as of,December 2013
6337,Live-in foreign workers,are,"quite common in Singapore with about 224,500 workers there"
6338,domestic workers,are,common
6339,foreign domestic workers,are,common
6340,workers,are quite common with,"about 224,500 domestic workers there"
6341,workers,are common in,Singapore
6342,Live-in foreign workers,are quite common with,"about 224,500 foreign workers there"
6343,foreign domestic workers,are quite common with,"about 224,500 workers"
6344,foreign domestic workers,are,"quite common in Singapore with about 224,500 workers"
6345,Live-in domestic workers,are quite common with,"about 224,500 workers"
6346,Live-in workers,are,"common in Singapore with about 224,500 workers"
6347,foreign workers,are,"common in Singapore with about 224,500 domestic workers"
6348,Live-in foreign workers,are common as of,December 2013
6349,foreign workers,are common as of,December 2013
6350,Live-in domestic workers,are quite common with,"about 224,500 domestic workers there"
6351,foreign workers,are common with,"about 224,500 foreign workers there"
6352,foreign domestic workers,are,"quite common in Singapore with about 224,500 foreign workers there"
6353,Live-in foreign domestic workers,are,"quite common in Singapore with about 224,500 foreign workers there"
6354,foreign domestic workers,are quite common with,"about 224,500 domestic workers"
6355,Live-in foreign workers,are,"quite common in Singapore with about 224,500 domestic workers"
6356,Buddhism,is,widely practised religion
6357,Buddhism,is,practised religion
6358,Buddhism,is most widely practised religion in,Singapore
6359,Buddhism,is widely practised religion in,Singapore
6360,practised religion,is in,Singapore
6361,Buddhism,is practised religion in,Singapore
6362,Buddhism,is religion in,Singapore
6363,Buddhism,is,most widely practised religion
6364,Buddhism,is,religion
6365,33 %,% of,resident population
6366,religion,is,Christianity followed by Islam
6367,practised religion,is,Christianity followed by Islam
6368,next-most practised religion,is,Christianity followed by Islam
6369,next-most religion,is,Christianity
6370,next-most practised religion,is,Christianity followed
6371,next-most practised religion,is,Christianity
6372,religion,is,Christianity followed
6373,practised religion,is,Christianity followed
6374,practised religion,is,Christianity
6375,next-most religion,is,Christianity followed
6376,next-most religion,is,Christianity followed by Islam
6377,religion,is,Christianity
6378,proportion,increased,proportion decreased
6379,proportion,increased by,about 3 percentage points
6380,proportion,increased,proportion of Buddhists decreased
6381,proportion,increased by,about 3 percentage points each
6382,Other faiths,remained,stable
6383,faiths,remained,largely stable
6384,faiths,remained in,faiths share
6385,Other faiths,remained in,Other faiths share of population
6386,Other faiths,remained,largely stable
6387,faiths,remained in,faiths share of population
6388,Other faiths,remained in,Other faiths share
6389,faiths,remained,stable
6390,faiths,remained in,Other faiths share of population
6391,Other faiths,remained in,faiths share of population
6392,faiths,remained in,Other faiths share
6393,Other faiths,remained in,faiths share
6394,missionaries,having come into,country
6395,missionaries,having come from,China
6396,Most Buddhists,is in,Singapore
6397,missionaries,having come for,decades
6398,missionaries,having come for,several decades
6399,Buddhism,has seen,popularity
6400,Buddhism,However has seen popularity during,past decade
6401,Buddhism,has seen during,past decade
6402,Buddhism,However has seen,growing popularity among populace
6403,Buddhism,has seen popularity during,past decade
6404,Buddhism,has seen,growing popularity
6405,Buddhism,However has seen during,past decade
6406,Buddhism,However has seen,popularity
6407,Buddhism,has seen,popularity among populace
6408,Buddhism,has seen,growing popularity among populace
6409,Buddhism,However has seen,popularity among populace
6410,Buddhism,However has seen,growing popularity
6411,many people,is in,Singapore
6412,Buddhism,has also made inroads in,recent years
6413,Buddhism,has made,inroads
6414,Buddhism,has also made inroads into,country
6415,Buddhism,has also made,inroads
6416,Buddhism,has also made inroads in,years
6417,Buddhism,has made inroads into,country
6418,Buddhism,has made inroads in,recent years
6419,Buddhism,has made,slow inroads
6420,Buddhism,has made inroads in,years
6421,Buddhism,has also made,slow inroads
6422,Singapore,has,four official languages
6423,Singapore,has,four languages
6424,English,is,lingua franca
6425,English language,used in,business
6426,English main language,used in,business
6427,Constitution,are,written
6428,language,is used in,Singaporean courts
6429,language,is,used
6430,language other,is,used
6431,Constitution,are,written in English
6432,language other,is used in,courts
6433,language other,is used in,Singaporean courts
6434,interpreters,are,required
6435,interpreters,are required,used
6436,interpreters,are required,used in courts
6437,language,is used in,courts
6438,interpreters,are required,used in Singaporean courts
6439,corporations,conduct,Statutory corporations businesses
6440,corporations,conduct corporations businesses,translated
6441,corporations,are translated,accepted for use
6442,corporations,conduct corporations businesses,translated into English
6443,corporations,are translated into,English
6444,corporations,are translated,accepted
6445,Statutory corporations,are,translated
6446,corporations,conduct corporations businesses in,English
6447,corporations,conduct,corporations businesses
6448,corporations,are,translated
6449,Statutory corporations,conduct,corporations businesses
6450,Statutory corporations,are typically translated into,English
6451,Statutory corporations,conduct corporations businesses,translated into English
6452,Statutory corporations,conduct corporations businesses in,English
6453,Statutory corporations,are,typically translated
6454,corporations,are typically translated into,English
6455,Statutory corporations,conduct corporations businesses,translated
6456,corporations,are typically translated,accepted for use
6457,Statutory corporations,are translated,accepted
6458,Statutory corporations,are translated,accepted for use
6459,Statutory corporations,are translated into,English
6460,corporations,are typically translated,accepted
6461,corporations,are,typically translated
6462,Statutory corporations,are typically translated,accepted
6463,Statutory corporations,conduct,Statutory corporations businesses
6464,Statutory corporations,are typically translated,accepted for use
6465,Malay,was,designated by government after independence
6466,Malay,avoid,friction with Singapore 's Malay-speaking neighbours of Malaysia
6467,Malay,was,designated as national language by government after independence from Britain
6468,Malay,was,designated as national language by Singaporean government after independence from Britain
6469,Malay,was,designated as national language by government after independence in 1960s
6470,Malay,was,designated by government after independence from Britain in 1960s
6471,Malay,was,designated by Singaporean government after independence
6472,Malay,was,designated as national language by government after independence from Britain in 1960s
6473,Malay,was,designated as national language by Singaporean government after independence
6474,Malay,was,designated as language by government after independence from Britain in 1960s
6475,Malay,was,designated as national language after independence in 1960s
6476,Malay,was,designated as language after independence from Britain in 1960s
6477,Malay,was designated after,independence in 1960s
6478,Malay,was,designated as language by government after independence from Britain
6479,Malay,was,designated as language after independence from Britain
6480,Malay,was designated after,independence
6481,Malay,was,designated as language by Singaporean government after independence from Britain in 1960s
6482,friction,is with,Singapore 's Malay-speaking neighbours of Malaysia
6483,Malay,was,designated as national language after independence from Britain in 1960s
6484,Malay,was,designated as language after independence in 1960s
6485,Malay,was designated after,independence from Britain in 1960s
6486,Malay,was,designated by Singaporean government after independence in 1960s
6487,Singapore,with,Malay-speaking neighbours of Malaysia
6488,Malay,was,designated as language by Singaporean government after independence in 1960s
6489,Malay,was designated by,government
6490,Malay,was,designated as language by Singaporean government
6491,Malay,was,designated as national language after independence
6492,Malay,was designated as,national language
6493,Malay,was,designated as national language by Singaporean government after independence in 1960s
6494,Malay,was,designated as language by government after independence
6495,Malay,was,designated as language by government after independence in 1960s
6496,Malay,was,designated
6497,Malay,was,designated as language after independence
6498,Malay,avoid,friction
6499,Malay,was,designated as language by Singaporean government after independence from Britain
6500,Malay,avoid,friction with Singapore 's neighbours of Malaysia
6501,Malay,was,designated as national language by government
6502,Malay,was designated by,Singaporean government
6503,independence,is in,1960s
6504,Malay,was designated as,language
6505,Malay,was,designated as national language by Singaporean government
6506,Malay,was designated after,independence from Britain
6507,Malay,was,designated as language by Singaporean government after independence
6508,Malay,was,designated by Singaporean government after independence from Britain in 1960s
6509,Malay,was,designated by government after independence from Britain
6510,Malay,was,designated as national language by government after independence
6511,Malay,avoid,friction with Singapore 's Malay-speaking neighbours
6512,Malay,was,designated as national language after independence from Britain
6513,Malay,was,designated by Singaporean government after independence from Britain
6514,Malay,was,designated by government after independence in 1960s
6515,Malay,avoid,friction with Singapore 's neighbours
6516,Malay,was,designated as language by government
6517,It,has,purpose
6518,It,has,symbolic purpose
6519,Singaporean,is,written
6520,Malays,also learn,Arabic-based Jawi script
6521,Singaporean,is officially written in,Rumi script
6522,Singaporean,is officially written in,Latin-based Rumi script
6523,Malays,learn,Arabic-based Jawi script
6524,Singaporean Malays,learn,Arabic-based Jawi script
6525,Singaporean,is written in,Latin-based Rumi script
6526,Malays,learn,Jawi script
6527,Singaporean Malays,learn,Jawi script
6528,Singaporean Malays,also learn,Arabic-based Jawi script
6529,Singaporean,is written in,Rumi script
6530,Singaporean,is,officially written
6531,Singaporean Malays,also learn,Jawi script
6532,Malays,also learn,Jawi script
6533,Jawi,ethnic script for,use on Singaporean identity cards
6534,Jawi,script for,use
6535,Jawi,is considered,script for use on Singaporean identity cards
6536,Jawi,script for,use on Singaporean identity cards
6537,Jawi,ethnic script for,use
6538,Jawi,is considered,ethnic script for use on identity cards
6539,Jawi,is considered,ethnic script
6540,Jawi,is considered,script for use on identity cards
6541,Jawi,ethnic script for,use on identity cards
6542,Jawi,is,considered
6543,Jawi,is considered,ethnic script for use
6544,Jawi,is considered,ethnic script for use on Singaporean identity cards
6545,Jawi,is considered,script
6546,Jawi,is considered,script for use
6547,Jawi,script for,use on identity cards
6548,Singaporeans,are mostly bilingual with,typically English as Singaporeans common language as second language taught in schools
6549,Singaporeans,preserve,values
6550,Singaporeans,are mostly bilingual with,typically English as Singaporeans common language as language taught in schools
6551,Singaporeans,are mostly bilingual with,English as second language
6552,Singaporeans,are bilingual with,typically English as language taught in schools
6553,Singaporeans,are,bilingual
6554,Singaporeans,preserve,individual 's identity
6555,Singaporeans,are bilingual with,English as Singaporeans common language as second language taught in schools
6556,Singaporeans,are bilingual with,typically English as Singaporeans language as language taught
6557,Singaporeans,are,mostly bilingual
6558,Singaporeans,are mostly bilingual with,typically English
6559,Singaporeans,are mostly bilingual with,typically English as Singaporeans language as second language taught
6560,Singaporeans,are mostly bilingual with,English as language
6561,Singaporeans,are mostly bilingual with,English as language taught
6562,Singaporeans,are mostly bilingual with,typically English as Singaporeans language as language taught
6563,Singaporeans,are bilingual with,typically English as language taught
6564,Singaporeans,preserve,individual 's ethnic identity
6565,Singaporeans,are mostly bilingual with,typically English as Singaporeans language as language taught in schools
6566,Singaporeans,are mostly bilingual with,English as Singaporeans language
6567,Singaporeans,are mostly bilingual with,English as language taught in schools
6568,Singaporeans,preserve,ethnic identity
6569,Singaporeans,are mostly bilingual with,English as second language taught
6570,Singaporeans,are mostly bilingual with,typically English as Singaporeans common language as language
6571,Singaporeans,are mostly bilingual with,typically English as Singaporeans language as second language
6572,Singaporeans,are bilingual with,typically English as Singaporeans language as language
6573,Singaporeans,are bilingual with,English as Singaporeans language as second language taught in schools
6574,Singaporeans,are bilingual with,typically English as Singaporeans common language as second language taught in schools
6575,Singaporeans,are bilingual with,English
6576,Singaporeans,are bilingual with,English as language taught
6577,Singaporeans,are bilingual with,English as Singaporeans language as second language
6578,Singaporeans,are bilingual with,typically English as second language taught in schools
6579,Singaporeans,are mostly bilingual with,typically English as Singaporeans common language as second language
6580,Singaporeans,are mostly bilingual with,English as Singaporeans common language as language
6581,Singaporeans,are mostly bilingual with,English as Singaporeans language as language
6582,Singaporeans,are bilingual with,English as second language taught
6583,Singaporeans,are bilingual with,English as Singaporeans language as language taught
6584,Singaporeans,are mostly bilingual with,typically English as Singaporeans language as second language taught in schools
6585,Singaporeans,are bilingual with,typically English as Singaporeans language as second language
6586,Singaporeans,are bilingual with,English as Singaporeans common language as second language taught
6587,Singaporeans,are bilingual with,English as Singaporeans language as language taught in schools
6588,Singaporeans,are bilingual with,English as second language
6589,Singaporeans,are bilingual with,typically English as Singaporeans language as language taught in schools
6590,Singaporeans,are bilingual with,typically English as Singaporeans common language as language taught
6591,Singaporeans,are mostly bilingual with,typically English as second language taught
6592,Singaporeans,are bilingual with,typically English as second language
6593,Singaporeans,are mostly bilingual with,typically English as Singaporeans common language as second language taught
6594,Singaporeans,are mostly bilingual with,English
6595,Singaporeans,are mostly bilingual with,typically English as Singaporeans language as language
6596,Singaporeans,are mostly bilingual with,typically English as Singaporeans language
6597,Singaporeans,are mostly bilingual with,typically English as Singaporeans common language
6598,Singaporeans,are bilingual with,English as Singaporeans language as second language taught
6599,Singaporeans,are mostly bilingual with,English as Singaporeans language as language taught in schools
6600,Singaporeans,are bilingual with,typically English as Singaporeans common language as language taught in schools
6601,Singaporeans,are bilingual with,English as language
6602,Singaporeans,preserve,identity
6603,Singaporeans,are mostly bilingual with,English as Singaporeans language as second language taught
6604,Singaporeans,are mostly bilingual with,English as Singaporeans language as second language
6605,Singaporeans,are mostly bilingual with,English as Singaporeans common language as language taught in schools
6606,Singaporeans,are mostly bilingual with,English as Singaporeans common language as second language taught in schools
6607,Singaporeans,are bilingual with,English as Singaporeans common language as second language
6608,Singaporeans,are bilingual with,English as second language taught in schools
6609,Singaporeans,are mostly bilingual with,typically English as second language
6610,Singaporeans,are bilingual with,English as Singaporeans language as language
6611,Singaporeans,are mostly bilingual with,English as Singaporeans language as language taught
6612,Singaporeans,are mostly bilingual with,English as Singaporeans common language as second language taught
6613,Singaporeans,are bilingual with,typically English
6614,Singaporeans,are mostly bilingual with,English as Singaporeans common language as second language
6615,Singaporeans,are bilingual with,typically English as Singaporeans common language as second language
6616,Singaporeans,are mostly bilingual with,English as second language taught in schools
6617,Singaporeans,are mostly bilingual with,typically English as language
6618,Singaporeans,are bilingual with,English as Singaporeans common language as language taught in schools
6619,Singaporeans,are mostly bilingual with,English as Singaporeans common language as language taught
6620,Singaporeans,are mostly bilingual with,typically English as Singaporeans common language as language taught
6621,Singaporeans,are bilingual with,English as Singaporeans common language as language taught
6622,Singaporeans,are mostly bilingual with,typically English as language taught in schools
6623,Singaporeans,are bilingual with,English as Singaporeans language
6624,Singaporeans,are bilingual with,typically English as Singaporeans language as second language taught
6625,Singaporeans,are mostly bilingual with,English as Singaporeans common language
6626,Singaporeans,are bilingual with,English as Singaporeans common language as language
6627,Singaporeans,are bilingual with,English as language taught in schools
6628,Singaporeans,are mostly bilingual with,English as Singaporeans language as second language taught in schools
6629,Singaporeans,are bilingual with,typically English as second language taught
6630,Singaporeans,are bilingual with,typically English as Singaporeans common language as second language taught
6631,individual,has,identity
6632,Singaporeans,are bilingual with,typically English as Singaporeans language
6633,Singaporeans,are bilingual with,typically English as Singaporeans common language
6634,Singaporeans,are bilingual with,typically English as Singaporeans language as second language taught in schools
6635,Singaporeans,are mostly bilingual with,typically English as second language taught in schools
6636,Singaporeans,are bilingual with,typically English as Singaporeans common language as language
6637,Singaporeans,are mostly bilingual with,typically English as language taught
6638,Singaporeans,are bilingual with,typically English as language
6639,Singaporeans,are bilingual with,English as Singaporeans common language
6640,English,is,most spoken language at home at 36.9 % ahead of Mandarin
6641,English,is most spoken language at,36.9 % just ahead of Mandarin
6642,English,is language at,36.9 % of population
6643,English,is,most spoken language at home at 36.9 % of population just ahead
6644,English,is spoken language at,36.9 % of population just ahead of Mandarin
6645,English,is language at,home
6646,English,is,spoken language at home at 36.9 % just ahead of Mandarin
6647,English,is,language at home at 36.9 % ahead
6648,English,is,most spoken language at home at 36.9 % of population
6649,English,is spoken language at,36.9 % of population
6650,English,is,most spoken language at home at 36.9 % of population ahead
6651,English,is spoken language at,36.9 %
6652,English,is,most spoken language at home at 36.9 % ahead
6653,English,is,spoken language at home at 36.9 % just ahead
6654,English,is,language at home at 36.9 % just ahead of Mandarin
6655,English,is,language at home at 36.9 % of population ahead of Mandarin
6656,English,is most spoken language at,36.9 % just ahead
6657,English,is,spoken language at home at 36.9 % ahead
6658,English,is language at,36.9 % ahead of Mandarin
6659,English,is,language at home at 36.9 % of population ahead
6660,English,is language at,36.9 % of population just ahead of Mandarin
6661,English,is,language at home at 36.9 % of population
6662,English,is,language
6663,English,is spoken language at,36.9 % ahead
6664,English,is spoken language at,36.9 % of population ahead
